rank,country,value
1,Luxembourg,11.45915508
2,Sierra Leone,11.30766296
3,Kuwait,11.13424301
4,Turkmenistan,11.12180805
5,North Cyprus,11.08178902
6,Sri Lanka,10.95832348
7,Ukraine,10.89986897
8,Rwanda,10.81198788
9,Ireland,10.80623436
10,Netherlands,10.76432228
11,Spain,10.72939968
12,Denmark,10.71568489
13,Austria,10.7004528
14,Germany,10.68190861
15,Australia,10.66709518
16,Bahrain,10.66149044
17,Iceland,10.66135502
18,Canada,10.65338516
19,Belgium,10.61957264
20,Uganda,10.58457565
21,Finland,10.57176685
22,France,10.53293419
23,Japan,10.52736092
24,Malta,10.48412037
25,New Zealand,10.47082806
26,Italy,10.43252182
27,South Korea,10.41478729
28,Tajikistan,10.37116909
29,Israel,10.36413765
30,Slovakia,10.3067131
31,Cyprus,10.29927731
32,Singapore,10.28273392
33,Czech Republic,10.27916718
34,Lithuania,10.2365284
35,Estonia,10.20779419
36,Poland,10.20746899
37,Philippines,10.16781044
38,Hungary,10.09251308
39,Greece,10.08920479
40,Romania,10.08689213
41,Thailand,10.07561111
42,Kazakhstan,10.06841087
43,Latvia,10.04474258
44,Chile,10.00903797
45,Palestinian Territories,9.968101501
46,Portugal,9.930371284
47,United Arab Emirates,9.917771339
48,Croatia,9.910268784
49,Argentina,9.877256393
50,Belarus,9.778838158
51,Iran,9.736499786
52,Mexico,9.731064796
53,Gabon,9.721873283
54,Azerbaijan,9.716747284
55,Taiwan Province of China,9.688437462
56,Bulgaria,9.680171967
57,Montenegro,9.662998199
58,Botswana,9.652990341
59,Brazil,9.644085884
60,Syria,9.631463051
61,Iraq,9.595374107
62,Costa Rica,9.574430466
63,Senegal,9.526796341
64,Lebanon,9.499474525
65,Macedonia,9.476909637
66,China,9.453964233
67,Colombia,9.450613976
68,Dominican Republic,9.444549561
69,Slovenia,9.414111137
70,Paraguay,9.413349152
71,Mongolia,9.337942123
72,Ecuador,9.296648026
73,Tanzania,9.282848358
74,Albania,9.258439064
75,Bosnia and Herzegovina,9.238404274
76,Indonesia,9.21064949
77,Egypt,9.19824791
78,Panama,9.090585709
79,Georgia,9.076712608
80,Kosovo,9.076169968
81,Jordan,9.062093735
82,Jamaica,8.993581772
83,Turkey,8.967859268
84,Armenia,8.952596664
85,El Salvador,8.949892998
86,Morocco,8.915043831
87,Peru,8.886888504
88,Guatemala,8.874507904
89,Bhutan,8.86372757
90,United Kingdom,8.762778282
91,Angola,8.729884148
92,Bolivia,8.714517593
93,Congo (Brazzaville),8.619398117
94,India,8.592283249
95,Nigeria,8.58562088
96,Myanmar,8.576414108
97,Nicaragua,8.544193268
98,United States,8.541249275
99,Moldova,8.505997658
100,Pakistan,8.458488464
101,Honduras,8.350270271
102,Uruguay,8.261730194
103,Ghana,8.260645866
104,Uzbekistan,8.197677612
105,Mauritania,8.180959702
106,Kyrgyzstan,8.082588196
107,Cameroon,8.039212227
108,Ivory Coast,8.024382591
109,Cambodia,7.995024681
110,Bangladesh,7.95006752
111,Sweden,7.923922062
112,Kenya,7.920456409
113,Saudi Arabia,7.774625301
114,Nepal,7.739643097
115,Chad,7.638511181
116,Mali,7.586338997
117,Benin,7.567653656
118,Venezuela,7.562753201
119,Afghanistan,7.50337553
120,South Africa,7.500065804
121,Malaysia,7.492049217
122,Russia,7.48085165
123,Guinea,7.458600521
124,Tunisia,7.442951202
125,Trinidad and Tobago,7.418150902
126,Haiti,7.410259247
127,Burkina Faso,7.353917599
128,Ethiopia,7.261595249
129,Madagascar,7.241845608
130,Serbia,7.221711159
131,Malawi,6.988229752
132,Niger,6.818341255
133,Congo (Kinshasa),6.58717823
134,Vietnam,
135,Yemen,
136,Zambia,
137,Zimbabwe,
