rank,country,value
1,Bolivia,0.976339638
2,Mali,0.969482958
3,Brazil,0.954636931
4,Tanzania,0.952472746
5,Paraguay,0.949044526
6,Georgia,0.94543612
7,Malaysia,0.940632403
8,Kosovo,0.939358175
9,Kyrgyzstan,0.936335504
10,Nepal,0.926109254
11,Panama,0.922192395
12,Rwanda,0.920422673
13,Congo (Kinshasa),0.917735159
14,Sri Lanka,0.913651109
15,Peru,0.913418293
16,Ireland,0.912753046
17,Spain,0.906422615
18,Armenia,0.901462197
19,Malta,0.900452137
20,Croatia,0.896880686
21,Portugal,0.889765203
22,Iceland,0.889677405
23,Chile,0.886645734
24,Honduras,0.886361301
25,Italy,0.882796168
26,Canada,0.881972373
27,Tajikistan,0.872740388
28,Kuwait,0.868966281
29,Costa Rica,0.868237555
30,Finland,0.86677748
31,Albania,0.862904966
32,Kazakhstan,0.857725024
33,Belgium,0.855955541
34,Cambodia,0.855849743
35,Singapore,0.853887916
36,Bhutan,0.852592945
37,Japan,0.852549851
38,Argentina,0.850906193
39,Jordan,0.850647092
40,Mauritania,0.848966599
41,Romania,0.848398328
42,Guinea,0.848082721
43,Madagascar,0.841835141
44,Nigeria,0.840777099
45,Saudi Arabia,0.838474393
46,Serbia,0.831863225
47,Ukraine,0.830936551
48,Niger,0.830646336
49,Lebanon,0.824178994
50,Germany,0.823959649
51,Afghanistan,0.8232041
52,Angola,0.822900295
53,Ghana,0.821654916
54,Mongolia,0.81711489
55,Sweden,0.815044165
56,Colombia,0.813676
57,Burkina Faso,0.811991632
58,South Korea,0.810521007
59,Palestinian Territories,0.810096323
60,China,0.808412731
61,Taiwan Province of China,0.806076229
62,Ecuador,0.80454427
63,Kenya,0.803687513
64,Bulgaria,0.800757825
65,Luxembourg,0.800046742
66,Senegal,0.799543023
67,Poland,0.794353724
68,Slovakia,0.790626824
69,Moldova,0.790228367
70,Iraq,0.789429903
71,Bahrain,0.789374709
72,Congo (Brazzaville),0.788037479
73,Guatemala,0.777403951
74,Turkmenistan,0.771245837
75,Hungary,0.764722109
76,Indonesia,0.762167156
77,Greece,0.762152016
78,Czech Republic,0.760023475
79,Chad,0.758497715
80,North Cyprus,0.756116271
81,Lithuania,0.755383492
82,Jamaica,0.755250692
83,Pakistan,0.755191565
84,Dominican Republic,0.749142587
85,Israel,0.744249642
86,Bosnia and Herzegovina,0.743073821
87,Sierra Leone,0.741540551
88,Uganda,0.732267559
89,Nicaragua,0.713928223
90,Botswana,0.710303426
91,India,0.698951244
92,Syria,0.698064804
93,Macedonia,0.696494639
94,Bangladesh,0.68150872
95,Tunisia,0.676212788
96,Myanmar,0.672963321
97,South Africa,0.663430989
98,Denmark,0.660934925
99,Ivory Coast,0.659198642
100,Netherlands,0.659180284
101,Benin,0.650338471
102,Ethiopia,0.640602052
103,Mexico,0.637765765
104,Azerbaijan,0.615552545
105,Malawi,0.614747047
106,Egypt,0.568734467
107,El Salvador,0.56702733
108,Austria,0.55747962
109,Trinidad and Tobago,0.53349489
110,Belarus,0.511975765
111,France,0.50241679
112,Turkey,0.464641601
113,Thailand,0.456133723
114,Cameroon,0.441735327
115,Montenegro,0.43330425
116,Haiti,0.415810198
117,Gabon,0.412168294
118,Iran,0.408756912
119,Latvia,0.37539047
120,Australia,0.356554389
121,Morocco,0.278270781
122,Slovenia,0.250389993
123,New Zealand,0.249711379
124,Cyprus,0.237218335
125,Estonia,0.223369658
126,Russia,0.161790684
127,Philippines,0.09460447
128,United Arab Emirates,
129,United Kingdom,
130,United States,
131,Uruguay,
132,Uzbekistan,
133,Venezuela,
134,Vietnam,
135,Yemen,
136,Zambia,
137,Zimbabwe,
