rank,country,value
1,Switzerland,0.29678
2,Iceland,0.4363
3,Denmark,0.34139
4,Norway,0.34699
5,Canada,0.45811
6,Finland,0.23351
7,Netherlands,0.4761
8,Sweden,0.36262
9,New Zealand,0.47501
10,Australia,0.43562
11,Israel,0.33172
12,Costa Rica,0.25497
13,Austria,0.33088
14,Mexico,0.14074
15,United States,0.40105
16,Brazil,0.14574
17,Luxembourg,0.28034
18,Ireland,0.45901
19,Belgium,0.2225
20,United Arab Emirates,0.26428
21,United Kingdom,0.51912
22,Oman,0.21542
23,Venezuela,0.05841
24,Singapore,0.31105
25,Panama,0.24434
26,Germany,0.28214
27,Chile,0.33363
28,Qatar,0.32573
29,France,0.12332
30,Argentina,0.11451
31,Czech Republic,0.10686
32,Uruguay,0.2324
33,Colombia,0.18401
34,Thailand,0.5763
35,Saudi Arabia,0.13706
36,Spain,0.18227
37,Malta,0.51752
38,Taiwan,0.25376
39,Kuwait,0.16228
40,Suriname,0.16991
41,Trinidad and Tobago,0.31844
42,El Salvador,0.10692
43,Guatemala,0.27489
44,Uzbekistan,0.22837
45,Slovakia,0.16893
46,Japan,0.10705
47,South Korea,0.18557
48,Ecuador,0.11541
49,Bahrain,0.17362
50,Italy,0.22823
51,Bolivia,0.20536
52,Moldova,0.20951
53,Paraguay,0.3424
54,Kazakhstan,0.11827
55,Slovenia,0.25328
56,Lithuania,0.02641
57,Nicaragua,0.27815
58,Peru,0.14982
59,Belarus,0.11046
60,Poland,0.16759
61,Malaysia,0.33075
62,Croatia,0.05444
63,Libya,0.18295
64,Russia,0.00199
65,Jamaica,0.2123
66,North Cyprus,0.26169
67,Cyprus,0.30638
68,Algeria,0.07822
69,Kosovo,0.2831
70,Turkmenistan,0.16979
71,Mauritius,0.37744
72,Hong Kong,0.39478
73,Estonia,0.0868
74,Indonesia,0.51535
75,Vietnam,0.1686
76,Turkey,0.12253
77,Kyrgyzstan,0.3003
78,Nigeria,0.27233
79,Bhutan,0.47998
80,Azerbaijan,0.07799
81,Pakistan,0.33671
82,Jordan,0.11053
82,Montenegro,0.1614
84,China,0.08185
85,Zambia,0.19591
86,Romania,0.13748
87,Serbia,0.19231
88,Portugal,0.13719
89,Latvia,0.18226
90,Philippines,0.24991
91,Somaliland region,0.50318
92,Morocco,0.07172
93,Macedonia,0.22359
94,Mozambique,0.22269
95,Albania,0.14272
96,Bosnia and Herzegovina,0.24808
97,Lesotho,0.16388
98,Dominican Republic,0.21684
99,Laos,0.42192
100,Mongolia,0.3323
101,Swaziland,0.18259
102,Greece,0
103,Lebanon,0.21854
104,Hungary,0.128
105,Honduras,0.23027
106,Tajikistan,0.22974
107,Tunisia,0.06431
108,Palestinian Territories,0.11251
109,Bangladesh,0.21222
110,Iran,0.38086
111,Ukraine,0.15275
112,Iraq,0.17922
113,South Africa,0.11973
114,Ghana,0.23087
115,Zimbabwe,0.18987
116,Liberia,0.24362
117,India,0.26475
118,Sudan,0.19062
119,Haiti,0.46187
120,Congo (Kinshasa),0.24834
121,Nepal,0.32296
122,Ethiopia,0.24325
123,Sierra Leone,0.21488
124,Mauritania,0.219
125,Kenya,0.37542
126,Djibouti,0.18093
127,Armenia,0.07855
128,Botswana,0.10461
129,Myanmar,0.79588
130,Georgia,0.05547
131,Malawi,0.33128
132,Sri Lanka,0.40828
133,Cameroon,0.20618
134,Bulgaria,0.11921
135,Egypt,0.11291
136,Yemen,0.09131
137,Angola,0.12344
138,Mali,0.18798
139,Congo (Brazzaville),0.12388
140,Comoros,0.17441
141,Uganda,0.29066
142,Senegal,0.20843
143,Gabon,0.06822
144,Niger,0.19387
145,Cambodia,0.40359
146,Tanzania,0.34377
147,Madagascar,0.21333
148,Central African Republic,0.23835
149,Chad,0.18386
150,Guinea,0.28657
151,Ivory Coast,0.20165
152,Burkina Faso,0.21747
153,Afghanistan,0.3651
154,Rwanda,0.22628
155,Benin,0.1826
156,Syria,0.47179
157,Burundi,0.19727
158,Togo,0.16681
