rank,country,value
1,Singapore,75.81240082
2,Spain,74.49821472
3,Japan,74.40352631
4,South Korea,74.04169464
5,Sweden,73.00654602
6,Italy,72.72756195
7,Australia,72.25133514
8,France,72.19274139
9,Portugal,72.15874481
10,Cyprus,72.14528656
11,United Kingdom,72.05612946
12,Iceland,72.05354309
13,Israel,72.04925537
14,Luxembourg,71.8243866
15,Canada,71.79985046
16,Malta,71.65420532
17,Belgium,71.52167511
18,New Zealand,71.479599
19,Netherlands,71.26724243
20,Greece,71.25013733
21,Taiwan Province of China,71.20999908
22,Austria,71.11972046
23,North Cyprus,71.086586
24,Ireland,71
25,Finland,70.97862244
26,Slovenia,70.94329071
27,Syria,70.75
28,Germany,70.55317688
29,Denmark,70.26249695
30,United States,69.7709198
31,Costa Rica,69.20224762
32,Czech Republic,69.1553421
33,Poland,69.09680176
34,Chile,68.93273163
35,Slovakia,68.77391052
36,China,68.7209549
37,United Arab Emirates,68.5815506
38,Uruguay,68.38036346
39,Albania,68.29137421
40,Lebanon,68.26715088
41,Panama,68.04541016
42,Mexico,67.46112823
43,Bosnia and Herzegovina,67.37329102
44,Croatia,67.23877716
45,Estonia,67.12309265
46,Argentina,66.97756958
47,Romania,66.85708618
48,Bulgaria,66.76789856
49,Ecuador,66.566185
50,Hungary,66.49794769
51,Thailand,66.41879272
52,Montenegro,66.30839539
53,Vietnam,66.24576569
54,Tunisia,65.88056183
55,Turkey,65.79473114
56,Serbia,65.68487549
57,Bahrain,65.64447784
58,Venezuela,65.57042694
59,Trinidad and Tobago,65.56322479
60,Peru,65.40724182
61,Nicaragua,65.31340027
62,Jamaica,65.28887939
63,Macedonia,65.28764343
64,Iran,65.00792694
65,Latvia,64.98500061
66,Kuwait,64.9475708
67,Lithuania,64.92501831
68,Malaysia,64.75732422
69,Paraguay,64.62174225
70,Brazil,64.60224152
71,Armenia,64.45549011
72,Belarus,64.41842651
73,Morocco,64.4109726
74,Saudi Arabia,64.08374023
75,Jordan,63.91085815
76,Georgia,63.85675812
77,Colombia,63.52719879
78,Rwanda,63.47610855
79,El Salvador,63.43621826
80,Ukraine,63.17335129
81,Uzbekistan,63.16617966
82,Honduras,63.08299255
83,Palestinian Territories,63.07249832
84,Russia,62.97878265
85,Tajikistan,62.97124863
86,Moldova,62.87981796
87,Dominican Republic,62.8519249
88,Azerbaijan,62.63373947
89,Guatemala,62.39096451
90,Kazakhstan,62.16176605
91,Kyrgyzstan,62.06302643
92,Kosovo,61.48379135
93,Mongolia,61.43270493
94,Bangladesh,61.28379059
95,Egypt,60.93147659
96,Turkmenistan,60.39269257
97,Iraq,60.2989006
98,Philippines,60.25149155
99,Indonesia,59.98728943
100,Nepal,59.9701767
101,Bhutan,59.88940048
102,Bolivia,58.92830276
103,India,58.50215912
104,Senegal,57.98087692
105,Pakistan,57.46299744
106,Cambodia,57.38068771
107,Kenya,56.99938965
108,Myanmar,56.9900589
109,Tanzania,56.66548538
110,Madagascar,55.58588409
111,Gabon,55.43218231
112,South Africa,55.22930908
113,Yemen,54.98103333
114,Ethiopia,54.93483353
115,Botswana,54.32556534
116,Ghana,53.84350204
117,Sri Lanka,53.82001114
118,Zambia,53.80378342
119,Congo (Brazzaville),53.27974319
120,Mauritania,52.72402191
121,Zimbabwe,52.67448425
122,Haiti,52.32541656
123,Angola,52.04230118
124,Uganda,51.76347733
125,Malawi,51.61562729
126,Afghanistan,51.04298019
127,Benin,50.89535141
128,Burkina Faso,50.7416954
129,Niger,49.77864838
130,Congo (Kinshasa),49.34125519
131,Guinea,49.23622131
132,Cameroon,48.55026627
133,Mali,47.60936737
134,Ivory Coast,45.14600372
135,Chad,44.65095139
136,Nigeria,44.39230728
137,Sierra Leone,44.38652802
