rank,country,value,region
1,Finland,0.874,Western Europe
2,Norway,0.861,Western Europe
3,Denmark,0.868,Western Europe
4,Iceland,0.914,Western Europe
5,Switzerland,0.927,Western Europe
6,Netherlands,0.878,Western Europe
7,Canada,0.896,North America and ANZ
8,New Zealand,0.876,North America and ANZ
9,Sweden,0.913,Western Europe
10,Australia,0.91,North America and ANZ
11,Israel,0.888,Middle East and North Africa
12,Austria,0.891,Western Europe
13,Costa Rica,0.817,Latin America and Caribbean
14,Ireland,0.876,Western Europe
15,Germany,0.861,Western Europe
16,Belgium,0.894,Western Europe
17,Luxembourg,0.896,Western Europe
18,United States,0.819,North America and ANZ
19,United Kingdom,0.883,Western Europe
20,United Arab Emirates,0.776,Middle East and North Africa
21,Czech Republic,0.854,Central and Eastern Europe
22,Malta,0.884,Western Europe
23,France,0.908,Western Europe
24,Mexico,0.761,Latin America and Caribbean
25,Chile,0.808,Latin America and Caribbean
26,Taiwan Province of China,0.857,East Asia
27,Panama,0.759,Latin America and Caribbean
28,Brazil,0.675,Latin America and Caribbean
29,Argentina,0.744,Latin America and Caribbean
30,Guatemala,0.608,Latin America and Caribbean
31,Uruguay,0.771,Latin America and Caribbean
32,Qatar,0.748,Middle East and North Africa
33,Saudi Arabia,0.633,Middle East and North Africa
34,Singapore,1.008,Southeast Asia
35,Malaysia,0.669,Southeast Asia
36,Spain,0.965,Western Europe
37,Colombia,0.635,Latin America and Caribbean
38,Trinidad & Tobago,0.564,Latin America and Caribbean
39,Slovakia,0.776,Central and Eastern Europe
40,El Salvador,0.639,Latin America and Caribbean
41,Nicaragua,0.7,Latin America and Caribbean
42,Poland,0.781,Central and Eastern Europe
43,Bahrain,0.698,Middle East and North Africa
44,Uzbekistan,0.605,Commonwealth of Independent States
45,Kuwait,0.675,Middle East and North Africa
46,Thailand,0.707,Southeast Asia
47,Italy,0.946,Western Europe
48,Ecuador,0.736,Latin America and Caribbean
49,Belize,0.474,Latin America and Caribbean
50,Lithuania,0.716,Central and Eastern Europe
51,Slovenia,0.856,Central and Eastern Europe
52,Romania,0.726,Central and Eastern Europe
53,Latvia,0.671,Central and Eastern Europe
54,Japan,0.988,East Asia
55,Mauritius,0.684,Sub-Saharan Africa
56,Jamaica,0.693,Latin America and Caribbean
57,South Korea,0.955,East Asia
58,Northern Cyprus,0.909,Western Europe
59,Russia,0.599,Commonwealth of Independent States
60,Kazakhstan,0.631,Commonwealth of Independent States
61,Cyprus,0.909,Western Europe
62,Bolivia,0.508,Latin America and Caribbean
63,Estonia,0.737,Central and Eastern Europe
64,Paraguay,0.615,Latin America and Caribbean
65,Peru,0.674,Latin America and Caribbean
66,Kosovo,0.578,Central and Eastern Europe
67,Moldova,0.62,Commonwealth of Independent States
68,Turkmenistan,0.517,Commonwealth of Independent States
69,Hungary,0.732,Central and Eastern Europe
70,Libya,0.553,Middle East and North Africa
71,Philippines,0.513,Southeast Asia
72,Honduras,0.622,Latin America and Caribbean
73,Belarus,0.7,Commonwealth of Independent States
74,Turkey,0.686,Middle East and North Africa
75,Pakistan,0.424,South Asia
76,"Hong Kong SAR, China",1.03,East Asia
77,Portugal,0.884,Western Europe
78,Serbia,0.685,Central and Eastern Europe
79,Greece,0.879,Western Europe
80,Tajikistan,0.598,Commonwealth of Independent States
81,Montenegro,0.729,Central and Eastern Europe
82,Croatia,0.737,Central and Eastern Europe
83,Dominican Republic,0.614,Latin America and Caribbean
84,Algeria,0.687,Middle East and North Africa
85,Morocco,0.669,Middle East and North Africa
86,China,0.799,East Asia
87,Azerbaijan,0.603,Commonwealth of Independent States
88,Lebanon,0.785,Middle East and North Africa
89,Macedonia,0.691,Central and Eastern Europe
90,Jordan,0.645,Middle East and North Africa
91,Nigeria,0.048,Sub-Saharan Africa
92,Kyrgyzstan,0.594,Commonwealth of Independent States
93,Bosnia and Herzegovina,0.758,Central and Eastern Europe
94,Mongolia,0.575,East Asia
95,Vietnam,0.702,Southeast Asia
96,Indonesia,0.522,Southeast Asia
97,Bhutan,0.527,South Asia
98,Somalia,0.115,Sub-Saharan Africa
99,Cameroon,0.182,Sub-Saharan Africa
100,Bulgaria,0.712,Central and Eastern Europe
101,Nepal,0.539,South Asia
102,Venezuela,0.657,Latin America and Caribbean
103,Gabon,0.404,Sub-Saharan Africa
104,Palestinian Territories,0.602,Middle East and North Africa
105,South Africa,0.33,Sub-Saharan Africa
106,Iran,0.691,Middle East and North Africa
107,Ivory Coast,0.08,Sub-Saharan Africa
108,Ghana,0.337,Sub-Saharan Africa
109,Senegal,0.433,Sub-Saharan Africa
110,Laos,0.441,Southeast Asia
111,Tunisia,0.69,Middle East and North Africa
112,Albania,0.79,Central and Eastern Europe
113,Sierra Leone,0,Sub-Saharan Africa
114,Congo (Brazzaville),0.343,Sub-Saharan Africa
115,Bangladesh,0.579,South Asia
116,Sri Lanka,0.672,South Asia
117,Iraq,0.536,Middle East and North Africa
118,Mali,0.152,Sub-Saharan Africa
119,Namibia,0.365,Sub-Saharan Africa
120,Cambodia,0.457,Southeast Asia
121,Burkina Faso,0.254,Sub-Saharan Africa
122,Egypt,0.553,Middle East and North Africa
123,Mozambique,0.173,Sub-Saharan Africa
124,Kenya,0.454,Sub-Saharan Africa
125,Zambia,0.295,Sub-Saharan Africa
126,Mauritania,0.292,Sub-Saharan Africa
