rank,country,value
1,New Zealand,0.98734349
2,Iceland,0.980283201
3,Ireland,0.967744648
4,Denmark,0.956344306
5,Finland,0.952016532
6,Austria,0.949809194
7,Slovakia,0.945179105
8,Belgium,0.943549156
9,Uzbekistan,0.942131102
10,Spain,0.941736817
11,Germany,0.937558949
12,United Kingdom,0.937495291
13,Slovenia,0.934487343
14,Luxembourg,0.933604598
15,Turkmenistan,0.929032266
16,Lithuania,0.92852354
17,Australia,0.928205192
18,Singapore,0.925128222
19,United States,0.921002865
20,Malta,0.918764889
21,Canada,0.917836308
22,Estonia,0.917101741
23,Costa Rica,0.914211214
24,Paraguay,0.914199054
25,Uruguay,0.91380167
26,Sweden,0.912060678
27,Russia,0.910927355
28,Argentina,0.909874201
29,Thailand,0.907543659
30,Colombia,0.907402635
31,Mongolia,0.905524373
32,Indonesia,0.904827833
33,Japan,0.900040329
34,Brazil,0.898316443
35,Italy,0.89789933
36,Taiwan Province of China,0.894989252
37,Serbia,0.894894958
38,Poland,0.893090427
39,Dominican Republic,0.890588045
40,Saudi Arabia,0.889932334
41,Israel,0.889069736
42,Bulgaria,0.885949194
43,Ukraine,0.884961367
44,Bahrain,0.883780539
45,Panama,0.88261503
46,Bhutan,0.880341947
47,Belarus,0.880258858
48,Turkey,0.879994631
49,Latvia,0.879372418
50,Netherlands,0.879010439
51,Czech Republic,0.877915204
52,France,0.877504528
53,South Africa,0.875389755
54,Mauritania,0.874945939
55,Jamaica,0.874231517
56,Syria,0.870011866
57,Portugal,0.866213858
58,Chile,0.861552179
59,Botswana,0.859477818
60,Tajikistan,0.856656969
61,Kyrgyzstan,0.856584549
62,Philippines,0.853588581
63,Hungary,0.844735265
64,Moldova,0.8399055
65,Senegal,0.838994384
66,United Arab Emirates,0.83552736
67,Guatemala,0.833974659
68,Greece,0.832333207
69,Ecuador,0.830963194
70,Mali,0.830189168
71,Gabon,0.828597128
72,Nicaragua,0.826908529
73,Kuwait,0.823017776
74,Sri Lanka,0.822770596
75,Congo (Kinshasa),0.822286069
76,Bolivia,0.821344614
77,China,0.820366025
78,Malaysia,0.817616284
79,Jordan,0.816130996
80,South Korea,0.811163485
81,Romania,0.809229195
82,Nigeria,0.804766953
83,Zambia,0.799273849
84,Peru,0.798418343
85,El Salvador,0.797612131
86,Kazakhstan,0.79529345
87,North Cyprus,0.79138273
88,Honduras,0.790214539
89,Bosnia and Herzegovina,0.787651718
90,Cameroon,0.777777076
91,Cyprus,0.770175993
92,Azerbaijan,0.769690156
93,Macedonia,0.766368151
94,Palestinian Territories,0.766101241
95,Kenya,0.765436411
96,Yemen,0.761311531
97,Mexico,0.760614276
98,Venezuela,0.75947696
99,Albania,0.759476721
100,Uganda,0.753540218
101,Myanmar,0.752064288
102,Nepal,0.74761188
103,Burkina Faso,0.742262065
104,Lebanon,0.741707742
105,Montenegro,0.73963052
106,Chad,0.733066797
107,Iraq,0.725150704
108,Armenia,0.723260045
109,Angola,0.721590757
110,Niger,0.713019609
111,Ivory Coast,0.710991681
112,Kosovo,0.705632329
113,Tunisia,0.701822102
114,Vietnam,0.693905294
115,Cambodia,0.693434179
116,Congo (Brazzaville),0.685934663
117,Trinidad and Tobago,0.680260599
118,Rwanda,0.665130913
119,Sierra Leone,0.656723499
120,Morocco,0.655409336
121,Ghana,0.651468754
122,Madagascar,0.646716535
123,Croatia,0.645697773
124,Iran,0.644063771
125,Ethiopia,0.640452147
126,Tanzania,0.63775593
127,Guinea,0.63771373
128,India,0.621466637
129,Egypt,0.618550718
130,Bangladesh,0.577065051
131,Pakistan,0.561720133
132,Georgia,0.558420002
133,Haiti,0.554148793
134,Benin,0.506091297
135,Malawi,0.494381636
136,Afghanistan,0.48355186
137,Zimbabwe,
